DATE,A071RC1A027NBEA
1929-01-01,3.967
1930-01-01,3.344
1931-01-01,2.822
1932-01-01,-0.088
1933-01-01,-0.342
1934-01-01,0.924
1935-01-01,3.025
1936-01-01,4.793
1937-01-01,4.906
1938-01-01,1.97
1939-01-01,3.93
1940-01-01,5.307
1941-01-01,13.257
1942-01-01,31.872
1943-01-01,38.643
1944-01-01,42.381
1945-01-01,35.187
1946-01-01,19.552
1947-01-01,11.021
1948-01-01,17.191
1949-01-01,13.623
1950-01-01,19.997
1951-01-01,25.88
1952-01-01,27.808
1953-01-01,29.189
1954-01-01,28.147
1955-01-01,28.2
1956-01-01,34.654
1957-01-01,36.887
1958-01-01,38.823
1959-01-01,37.218
1960-01-01,37.85
1961-01-01,44.386
1962-01-01,46.702
1963-01-01,47.099
1964-01-01,55.282
1965-01-01,58.75
1966-01-01,61.861
1967-01-01,72.994
1968-01-01,72.927
1969-01-01,76.057
1970-01-01,97.588
1971-01-01,111.926
1972-01-01,111.526
1973-01-01,135.813
1974-01-01,146.28
1975-01-01,164.029
1976-01-01,154.386
1977-01-01,155.947
1978-01-01,175.066
1979-01-01,186.825
1980-01-01,224.894
1981-01-01,263.555
1982-01-01,291.199
1983-01-01,264.677
1984-01-01,326.307
1985-01-01,282.942
1986-01-01,288.712
1987-01-01,260.59
1988-01-01,317.112
1989-01-01,335.417
1990-01-01,360.635
1991-01-01,400.964
1992-01-01,450.497
1993-01-01,392.588
1994-01-01,357.2
1995-01-01,379.04
1996-01-01,369.937
1997-01-01,371.763
1998-01-01,424.588
1999-01-01,315.819
2000-01-01,316.823
2001-01-01,363.156
2002-01-01,451.596
2003-01-01,439.894
2004-01-01,417.049
2005-01-01,209.175
2006-01-01,275.95
2007-01-01,263.425
2008-01-01,451.473
2009-01-01,624.938
2010-01-01,671.425
2011-01-01,776.284
2012-01-01,976.525
2013-01-01,615.697
2014-01-01,711.996
2015-01-01,790.573
2016-01-01,746.198
2017-01-01,841.646
2018-01-01,996.655
2019-01-01,1178.158
2020-01-01,2659.01
2021-01-01,2095.7
2022-01-01,566.096
2023-01-01,967.225
